"mutant_ID","pool","firma","7dpiAlfL_KSUMA","7dpiAlfL_KValor M","7dpiAlfL_Kt-test","7dpiAlfL_HSUMA","7dpiAlfL_HValor M","7dpiAlfL_Ht-test","position","region","contig","Locus_tag","Gene","Protein"
"2011mTn5STM.2.13.E06",13.00,150.00,257.00,-0.03,0.66,58.50,-0.15,0.08,635350.00,"AE006469_628","pSymA","SMa1159","SMa1159","hypothetical protein"
"2011mTn5STM.2.13.E07",13.00,151.00,109.00,-0.08,0.48,141.75,-0.20,0.11,1190743.00,"RME591985_1085","pSymB","SM_b20961","exoP","protein tyrosine kinase MPA1 family protein"
"2011mTn5STM.2.13.E08",13.00,152.00,180.00,-0.20,0.15,121.25,-0.18,0.24,,"","","","",""
"2011mTn5STM.2.13.E09",13.00,153.00,369.00,0.76,1.39858552264529e-03,277.75,0.92,3.80112671574255e-03,569806.00,"]--Intergenic--[","pSymB","SM_b20541","SM_b20541","protein in ISRm14"
"2011mTn5STM.2.13.E10",13.00,154.00,149.75,-0.15,0.23,132.50,-0.27,0.15,1010055.00,"RME591985_919","pSymB","SM_b21344","SM_b21344","sugar uptake ABC transporter ATP-binding protein"
"2011mTn5STM.2.13.E11",13.00,268.00,275.00,-0.33,0.01,204.50,-0.06,0.19,624549.00,"SME591688_574","chromosome","SMc02259","SMc02259","periplasmic binding ABC transporter protein"
"2011mTn5STM.2.13.E12",13.00,221.00,190.50,0.04,0.85,170.75,-0.16,0.33,,"","","","",""
"2011mTn5STM.2.13.F01",13.00,57.00,318.00,-0.02,0.88,329.75,0.13,0.23,882163.00,"SME591688_818","chromosome","SMc00930","SMc00930","hypothetical protein"
"2011mTn5STM.2.13.F02",13.00,241.00,426.25,0.38,0.08,444.75,0.64,0.01,154389.00,"]--Intergenic--[","pSymB","SM_b20140","dapA2","dihydrodipicolinate synthase"
"2011mTn5STM.2.13.F03",13.00,159.00,332.50,-0.14,0.23,239.75,-0.22,6.37294582279477e-03,44773.00,"RME591985_36","pSymB","SM_b20034","SM_b20034","ABC transporter"
"2011mTn5STM.2.13.F04",13.00,160.00,299.75,0.31,0.13,295.00,0.57,0.01,718804.00,"AE006469_716","pSymA","SMa1315","virB4","VirB4 type IV secretion protein"
"2011mTn5STM.2.13.F05",13.00,161.00,251.50,-0.27,0.10,97.25,-0.29,0.06,376298.00,"AE006469_367","pSymA","SMa0693","arcA1","arginine deiminase"
"2011mTn5STM.2.13.F06",13.00,162.00,449.75,-0.14,0.45,191.25,-0.30,0.02,125508.00,"SME591688_111","chromosome","SMc04146","SMc04146","phosphoketolase"
"2011mTn5STM.2.13.F07",13.00,163.00,114.75,-0.31,0.15,135.25,-0.27,0.02,304774.00,"RME591985_287","pSymB","SM_b20298","SM_b20298","hypothetical protein"
"2011mTn5STM.2.13.F08",13.00,164.00,170.50,-0.20,0.10,101.25,-0.20,0.05,645595.00,"RME591985_594","pSymB","SM_b21022","SM_b21022","autoinducer-2 (AI-2) kinase"
"2011mTn5STM.2.13.F09",13.00,165.00,270.00,-0.20,0.30,117.50,-0.25,0.53,3146547.00,"SME591688_2960","chromosome","SMc03179","phaA1","monovalent cation/H+ antiporter subunit A"
"2011mTn5STM.2.13.F10",13.00,166.00,60.25,-0.21,0.44,51.25,-0.57,0.04,830584.00,"RME591985_762","pSymB","SM_b21259","SM_b21259","hypothetical protein"
"2011mTn5STM.2.13.F11",13.00,167.00,352.00,-0.10,0.52,239.75,0.02,0.82,848920.00,"RME591985_777","pSymB","SM_b21274","potB","spermidine/putrescine ABC transporter permease"
"2011mTn5STM.2.13.F12",13.00,168.00,642.25,-0.22,0.17,467.75,-0.18,0.20,,"","","","",""
"2011mTn5STM.2.13.G01",13.00,93.00,200.25,-0.01,0.91,179.25,-0.11,0.01,,"","","","",""
"2011mTn5STM.2.13.G02",13.00,253.00,309.50,-0.20,0.04,227.50,-0.23,0.12,158498.00,"AE006469_151","pSymA","SMa0281","SMa0281","MerR family transcriptional regulator"
"2011mTn5STM.2.13.G03",13.00,230.00,194.50,-0.19,0.06,108.50,-0.08,0.65,786408.00,"AE006469_779","pSymA","SMa1427","SMa1427","ABC transporter substrate-binding protein"
"2011mTn5STM.2.13.G04",13.00,172.00,273.00,-0.28,0.05,261.75,-0.37,0.09,2764945.00,"SME591688_2611","chromosome","SMc02342","tkt1","transketolase"
"2011mTn5STM.2.13.G05",13.00,173.00,310.75,0.07,0.38,173.75,0.08,0.32,,"","","","",""
"2011mTn5STM.2.13.G06",13.00,174.00,242.50,-0.26,0.05,309.75,-0.29,0.06,759934.00,"AE006469_757","pSymA","SMa1379","SMa1379","ABC transporter substrate-binding protein"
"2011mTn5STM.2.13.G07",13.00,175.00,379.25,8.53324703633433e-03,0.93,275.75,-0.21,0.04,1318608.00,"]--Intergenic--[","pSymB","--"," Intergenic","Non coding"
"2011mTn5STM.2.13.G08",13.00,176.00,5.00,-0.42,0.51,7.00,-1.29,0.02,2855199.00,"SME591688_2695","chromosome","SMc00725","argH1","argininosuccinate lyase"
"2011mTn5STM.2.13.G09",13.00,177.00,305.50,-0.01,0.69,300.75,-0.18,5.22765050109464e-03,828041.00,"AE006469_816","pSymA","SMa1500","SMa1500","oxidoreductase/oxygenase"
"2011mTn5STM.2.13.G10",13.00,178.00,238.25,-0.29,0.01,193.75,-0.38,0.09,762063.00,"RME591985_700","pSymB","SM_b21122","mccA","methylcrotonoyl-CoA carboxylase non-biotinylated subunit protein"
"2011mTn5STM.2.13.G11",13.00,179.00,241.25,-0.40,3.01900572158337e-03,184.75,-0.35,0.02,1271301.00,"SME591688_1187","chromosome","SMc00600","moaD","molybdopterin MPT converting factor subunit 1"
"2011mTn5STM.2.13.G12",13.00,233.00,506.00,-0.22,0.03,186.50,-0.28,0.19,467547.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.2.13.H01",13.00,34.00,410.75,0.13,0.66,312.75,0.35,0.37,2647096.00,"]--Intergenic--[","chromosome","--"," Intergenic","Non coding"
"2011mTn5STM.2.13.H02",13.00,265.00,49.00,-0.60,9.22392643563531e-03,174.50,-0.38,0.12,,"","","","",""
"2011mTn5STM.2.13.H03",13.00,183.00,504.50,-0.20,0.03,268.75,-0.27,0.07,789000.00,"RME591985_727","pSymB","SM_b21224","nodQ2","bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase"
"2011mTn5STM.2.13.H04",13.00,184.00,319.00,-0.07,0.55,321.25,-0.19,0.11,1034445.00,"SME591688_958","chromosome","SMc00089","SMc00089","hypothetical protein"
"2011mTn5STM.2.13.H05",13.00,185.00,544.75,0.66,0.11,368.25,0.84,0.05,1735344.00,"SME591688_1626","chromosome","SMc01195","SMc01195","hypothetical protein"
"2011mTn5STM.2.13.H06",13.00,186.00,365.25,-0.50,5.43389187974446e-03,279.50,-0.38,5.97354514891245e-03,248991.00,"RME591985_233","pSymB","SM_b20244","tyv","CDP-tyvelose-2-epimerase"
"2011mTn5STM.2.13.H07",13.00,187.00,655.50,0.16,0.22,646.25,0.15,0.41,1635939.00,"SME591688_1544","chromosome","SMc02079","SMc02079","hypothetical protein"
"2011mTn5STM.2.13.H08",13.00,188.00,295.50,-0.31,0.11,339.75,-0.19,0.04,428804.00,"RME591985_400","pSymB","SM_b20415","SM_b20415","oxidoreductase"
"2011mTn5STM.2.13.H09",13.00,189.00,629.25,0.01,0.88,373.50,-0.11,0.44,1849637.00,"SME591688_1741","chromosome","SMc00279","SMc00279","hypothetical protein"
"2011mTn5STM.2.13.H10",13.00,208.00,264.75,-0.45,0.02,196.25,-0.12,0.13,692787.00,"RME591985_636","pSymB","SM_b21058","SM_b21058","glucose-1-phosphate cytidylyltransferase"
"2011mTn5STM.2.13.H11",13.00,191.00,162.25,-0.53,0.05,299.75,-0.42,0.09,3161812.00,"SME591688_2979","chromosome","SMc03198","modC","molybdenum ABC transporter ATP-binding protein"
"2011mTn5STM.2.13.H12",13.00,245.00,0.50,1.01,0.18,4.00,-1.33,0.11,2161050.00,"SME591688_2039","chromosome","SMc04171","SMc04171","hemolysin-type calcium-binding protein"
"2011mTn5STM.2.14.A01",14.00,1.00,747.75,-0.35,0.01,501.00,-0.35,0.01,,"","","","",""
"2011mTn5STM.2.14.A02",14.00,98.00,456.75,-0.26,0.01,567.25,-0.22,0.04,,"","","","",""
"2011mTn5STM.2.14.A03",14.00,194.00,1587.25,1.05,1.39489478889017e-03,747.25,1.23,2.63095999235502e-03,,"","","","",""
"2011mTn5STM.2.14.A04",14.00,266.00,1028.25,-0.48,1.23158061832181e-03,657.25,-0.49,0.03,,"","","","",""
"2011mTn5STM.2.14.A05",14.00,101.00,460.75,-0.20,0.01,423.25,-0.08,0.64,,"","","","",""
"2011mTn5STM.2.14.A06",14.00,267.00,205.00,-0.57,4.17350436664052e-03,356.00,-0.37,0.04,,"","","","",""
"2011mTn5STM.2.14.A07",14.00,103.00,312.75,-0.17,0.06,263.25,-0.31,0.02,,"","","","",""
"2011mTn5STM.2.14.A08",14.00,104.00,267.50,-0.23,0.08,359.50,-0.32,6.58181847167569e-04,,"","","","",""
"2011mTn5STM.2.14.A09",14.00,105.00,79.75,-0.26,0.48,204.00,-0.32,0.26,,"","","","",""
"2011mTn5STM.2.14.A10",14.00,106.00,550.75,-0.19,0.12,156.75,-0.31,0.05,,"","","","",""
"2011mTn5STM.2.14.A11",14.00,107.00,432.75,-0.13,0.21,916.00,-0.23,0.01,,"","","","",""
"2011mTn5STM.2.14.A12",14.00,108.00,384.50,-0.21,0.07,244.25,0.09,0.47,,"","","","",""
"2011mTn5STM.2.14.B01",14.00,37.00,568.00,-5.92088932096527e-03,0.91,353.00,-0.12,0.37,,"","","","",""
"2011mTn5STM.2.14.B02",14.00,193.00,274.75,-0.17,0.02,304.50,-0.11,0.04,,"","","","",""
"2011mTn5STM.2.14.B03",14.00,206.00,311.75,0.19,0.13,242.50,0.25,0.06,,"","","","",""
"2011mTn5STM.2.14.B04",14.00,278.00,204.75,-0.13,0.46,189.00,-0.39,0.06,,"","","","",""
"2011mTn5STM.2.14.B05",14.00,231.00,160.75,0.01,0.86,227.75,-5.0984630666866e-03,0.97,,"","","","",""
"2011mTn5STM.2.14.B06",14.00,114.00,358.25,-0.43,0.03,347.50,-0.33,0.08,,"","","","",""
"2011mTn5STM.2.14.B07",14.00,115.00,155.00,-0.04,0.84,257.50,-0.25,0.21,,"","","","",""
"2011mTn5STM.2.14.B08",14.00,116.00,214.00,-0.14,0.11,117.75,-0.04,0.84,,"","","","",""
"2011mTn5STM.2.14.B09",14.00,117.00,142.50,0.04,0.79,422.75,-0.03,0.46,,"","","","",""
"2011mTn5STM.2.14.B10",14.00,118.00,244.50,-0.23,0.01,240.25,-0.20,0.13,,"","","","",""
"2011mTn5STM.2.14.B11",14.00,232.00,358.75,-0.10,0.39,337.75,-0.11,0.34,,"","","","",""
"2011mTn5STM.2.14.B12",14.00,120.00,538.25,-0.08,0.49,401.75,-0.13,0.41,,"","","","",""
"2011mTn5STM.2.14.C01",14.00,85.00,343.00,-0.57,0.01,353.25,-0.66,4.0230462423529e-03,,"","","","",""
"2011mTn5STM.2.14.C02",14.00,205.00,85.25,-0.07,0.46,183.25,-0.49,0.08,,"","","","",""
"2011mTn5STM.2.14.C03",14.00,123.00,184.75,-0.29,0.01,185.50,-0.15,0.39,,"","","","",""
"2011mTn5STM.2.14.C04",14.00,124.00,90.25,-2.0848227178432e-03,0.98,116.25,-0.23,0.05,,"","","","",""
"2011mTn5STM.2.14.C06",14.00,126.00,257.50,-0.27,0.01,191.00,0.02,0.80,,"","","","",""
"2011mTn5STM.2.14.C07",14.00,127.00,77.50,-0.36,0.11,166.75,-0.37,0.02,,"","","","",""
"2011mTn5STM.2.14.C08",14.00,128.00,191.00,-0.21,0.04,134.75,-0.15,0.40,,"","","","",""
"2011mTn5STM.2.14.C09",14.00,129.00,174.50,0.02,0.80,222.50,-0.12,0.50,,"","","","",""
"2011mTn5STM.2.14.C10",14.00,130.00,188.50,-0.02,0.72,441.75,-0.12,0.33,,"","","","",""
"2011mTn5STM.2.14.C11",14.00,131.00,261.00,-0.23,0.03,281.00,-0.19,0.08,,"","","","",""
"2011mTn5STM.2.14.C12",14.00,132.00,579.50,0.02,0.61,424.25,-0.10,0.09,,"","","","",""
"2011mTn5STM.2.14.D01",14.00,133.00,499.25,-0.18,0.20,515.25,-0.19,0.16,,"","","","",""
"2011mTn5STM.2.14.D02",14.00,134.00,255.50,-0.35,5.97586945057698e-03,296.00,-0.35,0.01,,"","","","",""
"2011mTn5STM.2.14.D03",14.00,135.00,567.25,0.29,0.11,488.00,0.31,0.11,,"","","","",""
"2011mTn5STM.2.14.D04",14.00,195.00,126.25,-0.27,0.04,192.75,-0.23,0.34,,"","","","",""
"2011mTn5STM.2.14.D05",14.00,137.00,299.25,0.36,0.03,332.50,0.45,0.01,,"","","","",""
"2011mTn5STM.2.14.D06",14.00,138.00,180.75,-0.11,0.43,316.75,0.03,0.83,,"","","","",""
"2011mTn5STM.2.14.D07",14.00,139.00,144.50,-5.26,6.59452510148683e-04,195.75,-4.65,3.42709262394175e-04,,"","","","",""
"2011mTn5STM.2.14.D08",14.00,279.00,264.00,-0.05,0.50,215.50,0.01,0.91,,"","","","",""
"2011mTn5STM.2.14.D09",14.00,141.00,734.50,0.47,0.01,651.50,0.62,6.35664950678032e-04,,"","","","",""
"2011mTn5STM.2.14.D10",14.00,196.00,201.25,-0.04,0.05,221.50,-0.10,0.44,,"","","","",""
"2011mTn5STM.2.14.D11",14.00,244.00,233.75,-0.36,0.03,368.25,-0.27,0.05,,"","","","",""
"2011mTn5STM.2.14.D12",14.00,280.00,398.75,-0.10,0.22,358.75,-0.01,0.91,,"","","","",""
"2011mTn5STM.2.14.E01",14.00,21.00,391.75,-0.06,0.28,461.25,-0.17,0.05,,"","","","",""
"2011mTn5STM.2.14.E02",14.00,229.00,210.25,-0.02,0.69,134.00,-0.03,0.85,,"","","","",""
"2011mTn5STM.2.14.E03",14.00,147.00,180.50,-0.17,0.24,191.50,-0.25,0.01,,"","","","",""
"2011mTn5STM.2.14.E04",14.00,148.00,88.25,-0.08,0.69,216.75,-0.15,0.25,,"","","","",""
"2011mTn5STM.2.14.E05",14.00,149.00,146.75,-0.20,0.02,190.00,-0.31,0.06,,"","","","",""
"2011mTn5STM.2.14.E06",14.00,150.00,213.50,-0.16,0.38,67.00,-0.32,0.19,,"","","","",""
"2011mTn5STM.2.14.E07",14.00,151.00,173.75,0.98,4.6674935564471e-03,315.75,0.83,1.61614795737357e-03,,"","","","",""
"2011mTn5STM.2.14.E08",14.00,152.00,162.25,-0.12,0.07,184.50,-0.32,0.10,,"","","","",""
"2011mTn5STM.2.14.E09",14.00,153.00,119.50,-1.18,5.43056317597429e-03,124.25,-0.78,0.01,,"","","","",""
"2011mTn5STM.2.14.E10",14.00,154.00,107.25,0.18,0.04,126.50,-0.04,0.78,,"","","","",""
"2011mTn5STM.2.14.E11",14.00,268.00,212.25,-0.32,0.07,218.50,-0.10,0.38,,"","","","",""
"2011mTn5STM.2.14.E12",14.00,221.00,193.00,-0.18,0.24,252.50,-0.27,0.03,,"","","","",""
"2011mTn5STM.2.14.F01",14.00,57.00,458.00,-0.40,1.30027076718149e-03,663.50,-0.27,0.05,,"","","","",""
"2011mTn5STM.2.14.F02",14.00,241.00,184.50,-0.14,0.36,355.50,-0.13,0.36,,"","","","",""
"2011mTn5STM.2.14.F03",14.00,159.00,241.75,-0.08,0.09,238.00,-0.10,0.11,,"","","","",""
"2011mTn5STM.2.14.F04",14.00,160.00,167.75,-0.43,0.09,225.50,-0.27,0.11,,"","","","",""
"2011mTn5STM.2.14.F05",14.00,161.00,176.50,-0.08,0.53,91.50,-0.03,0.87,,"","","","",""
"2011mTn5STM.2.14.F06",14.00,162.00,235.50,-0.15,0.27,134.00,-0.28,0.15,,"","","","",""
"2011mTn5STM.2.14.F07",14.00,163.00,86.50,-0.57,0.08,154.00,-0.06,0.42,,"","","","",""
"2011mTn5STM.2.14.F08",14.00,164.00,118.50,-0.03,0.81,99.75,-0.33,0.03,,"","","","",""
"2011mTn5STM.2.14.F09",14.00,165.00,216.25,-0.04,0.66,115.00,0.12,0.42,,"","","","",""
"2011mTn5STM.2.14.F10",14.00,166.00,205.00,-0.17,0.19,222.75,-0.30,0.11,,"","","","",""
"2011mTn5STM.2.14.F11",14.00,167.00,371.00,-0.11,0.03,376.00,-0.22,0.08,,"","","","",""
"2011mTn5STM.2.14.F12",14.00,168.00,307.25,-0.05,0.78,270.25,0.08,0.46,,"","","","",""
"2011mTn5STM.2.14.G01",14.00,93.00,35.25,-1.76,8.82207616126722e-03,55.25,-1.37,0.05,,"","","","",""
"2011mTn5STM.2.14.G02",14.00,253.00,96.75,0.11,0.65,108.50,-0.24,0.24,,"","","","",""
"2011mTn5STM.2.14.G03",14.00,230.00,224.50,-0.11,0.48,142.25,0.07,0.63,,"","","","",""
"2011mTn5STM.2.14.G04",14.00,172.00,272.00,-0.35,0.04,328.25,-0.22,0.02,,"","","","",""
"2011mTn5STM.2.14.G05",14.00,173.00,291.00,-0.23,0.10,215.00,-0.18,0.28,,"","","","",""
"2011mTn5STM.2.14.G06",14.00,174.00,173.75,-0.06,0.61,304.25,-0.15,0.12,,"","","","",""
"2011mTn5STM.2.14.G07",14.00,175.00,274.00,-6.08491680961155e-03,0.96,296.00,-0.24,0.07,,"","","","",""
"2011mTn5STM.2.14.G08",14.00,176.00,147.00,0.11,0.21,118.25,-0.14,0.54,,"","","","",""
"2011mTn5STM.2.14.G09",14.00,177.00,150.25,-0.08,0.52,194.50,-0.14,0.47,,"","","","",""
"2011mTn5STM.2.14.G10",14.00,178.00,193.50,-0.09,0.62,235.00,-0.27,0.11,,"","","","",""
"2011mTn5STM.2.14.G11",14.00,179.00,2.50,0.22,0.78,2.75,-0.07,0.94,,"","","","",""
"2011mTn5STM.2.14.G12",14.00,233.00,530.25,-0.08,0.46,249.25,-0.15,0.24,,"","","","",""
"2011mTn5STM.2.14.H01",14.00,34.00,878.75,0.67,4.02131724254086e-03,947.25,0.71,0.01,,"","","","",""
"2011mTn5STM.2.14.H02",14.00,265.00,133.50,-0.35,0.10,525.25,-0.17,0.08,,"","","","",""
"2011mTn5STM.2.14.H03",14.00,183.00,831.00,-0.23,0.10,560.75,-0.10,0.42,,"","","","",""
"2011mTn5STM.2.14.H04",14.00,184.00,357.25,-0.05,0.18,530.50,-0.14,0.02,,"","","","",""
"2011mTn5STM.2.14.H05",14.00,185.00,177.75,-0.03,0.81,199.25,-0.09,0.53,,"","","","",""
"2011mTn5STM.2.14.H06",14.00,186.00,320.50,-0.18,0.16,424.50,-0.24,8.15108219256782e-03,,"","","","",""
"2011mTn5STM.2.14.H07",14.00,187.00,491.25,-0.51,0.01,693.50,-0.56,0.02,,"","","","",""
"2011mTn5STM.2.14.H08",14.00,188.00,124.75,-0.29,0.12,219.00,-0.17,2.00488408666265e-03,,"","","","",""
"2011mTn5STM.2.14.H09",14.00,189.00,454.50,-0.16,0.04,374.00,-0.26,0.01,,"","","","",""
"2011mTn5STM.2.14.H10",14.00,208.00,942.25,0.92,3.9292680488564e-03,1008.75,1.07,0.01,,"","","","",""
"2011mTn5STM.2.14.H11",14.00,191.00,218.00,-0.17,0.14,577.75,-0.16,0.07,,"","","","",""
"2011mTn5STM.2.14.H12",14.00,245.00,47.25,0.05,0.59,165.25,-0.13,0.52,,"","","","",""
"2011mTn5STM.2.15.A01",15.00,1.00,383.50,0.08,0.85,204.75,0.16,0.41,,"","","","",""
"2011mTn5STM.2.15.A02",15.00,98.00,260.50,-1.05,0.18,247.25,-0.31,0.20,,"","","","",""
"2011mTn5STM.2.15.A03",15.00,194.00,434.00,-0.13,0.50,174.75,-0.30,0.29,,"","","","",""
"2011mTn5STM.2.15.A04",15.00,266.00,358.00,-0.77,0.06,206.75,-0.68,0.08,,"","","","",""
"2011mTn5STM.2.15.A05",15.00,101.00,370.25,3.54853000286991e-03,0.98,285.75,-0.06,0.76,,"","","","",""
"2011mTn5STM.2.15.A06",15.00,267.00,470.50,-0.20,0.42,713.00,-0.11,0.60,,"","","","",""
"2011mTn5STM.2.15.A07",15.00,103.00,320.25,-0.24,0.38,253.25,-0.45,0.04,,"","","","",""
"2011mTn5STM.2.15.A08",15.00,104.00,298.75,-0.47,0.25,374.50,-0.35,0.22,,"","","","",""
"2011mTn5STM.2.15.A09",15.00,105.00,169.00,0.07,0.86,356.25,-0.30,0.24,,"","","","",""
"2011mTn5STM.2.15.A10",15.00,106.00,370.75,0.15,0.36,89.25,0.09,0.66,,"","","","",""
"2011mTn5STM.2.15.A11",15.00,107.00,241.25,-0.11,0.63,412.50,-0.37,0.07,,"","","","",""
"2011mTn5STM.2.15.A12",15.00,108.00,232.25,0.26,0.32,140.75,-0.12,0.65,,"","","","",""
"2011mTn5STM.2.15.B01",15.00,37.00,132.75,-0.39,0.10,77.00,-0.77,0.03,,"","","","",""
"2011mTn5STM.2.15.B02",15.00,193.00,331.75,0.11,0.81,290.75,0.57,0.14,,"","","","",""
"2011mTn5STM.2.15.B03",15.00,206.00,193.25,-0.37,0.14,153.25,0.31,0.63,,"","","","",""
"2011mTn5STM.2.15.B04",15.00,278.00,65.75,0.20,0.60,51.50,-0.99,0.09,,"","","","",""
"2011mTn5STM.2.15.B05",15.00,231.00,158.50,-3.80257433717462e-03,0.97,190.00,0.15,0.63,,"","","","",""
"2011mTn5STM.2.15.B06",15.00,114.00,380.75,0.55,0.28,340.00,0.71,0.11,,"","","","",""
"2011mTn5STM.2.15.B07",15.00,115.00,116.75,-0.27,0.55,166.50,-0.96,0.17,,"","","","",""
"2011mTn5STM.2.15.B08",15.00,116.00,305.00,-0.61,0.04,148.50,0.26,0.68,,"","","","",""
"2011mTn5STM.2.15.B09",15.00,117.00,220.25,0.23,2.27189651991576e-03,490.25,0.74,0.02,,"","","","",""
"2011mTn5STM.2.15.B10",15.00,118.00,125.25,-0.75,0.22,118.75,-0.79,0.33,,"","","","",""
"2011mTn5STM.2.15.B11",15.00,232.00,281.75,0.13,0.66,211.25,0.62,0.23,,"","","","",""
"2011mTn5STM.2.15.B12",15.00,120.00,244.25,-0.37,0.11,211.75,-0.63,0.02,,"","","","",""
"2011mTn5STM.2.15.C01",15.00,85.00,318.75,-0.31,0.25,292.25,-0.39,0.23,,"","","","",""
"2011mTn5STM.2.15.C02",15.00,205.00,45.25,0.29,0.34,110.25,0.05,0.76,,"","","","",""
"2011mTn5STM.2.15.C03",15.00,123.00,146.75,-0.40,0.30,112.25,0.05,0.87,,"","","","",""
"2011mTn5STM.2.15.C04",15.00,124.00,241.75,0.15,0.61,192.50,-0.27,0.25,,"","","","",""
"2011mTn5STM.2.15.C06",15.00,126.00,222.75,-0.08,0.85,131.00,0.36,0.30,,"","","","",""
"2011mTn5STM.2.15.C07",15.00,127.00,80.25,-0.54,0.14,135.50,-0.41,0.05,,"","","","",""
"2011mTn5STM.2.15.C08",15.00,128.00,195.50,-0.99,2.69925122210488e-03,121.50,0.08,0.90,,"","","","",""
"2011mTn5STM.2.15.C09",15.00,129.00,157.75,-0.37,0.36,173.75,-0.99,0.17,,"","","","",""
"2011mTn5STM.2.15.C10",15.00,130.00,135.00,-0.45,0.19,264.00,-0.39,0.08,,"","","","",""
"2011mTn5STM.2.15.C11",15.00,131.00,177.00,-0.59,0.32,193.25,-0.02,0.85,,"","","","",""
"2011mTn5STM.2.15.C12",15.00,132.00,275.75,-0.24,0.40,184.75,-0.78,0.16,,"","","","",""
"2011mTn5STM.2.15.D01",15.00,133.00,346.00,-0.50,0.04,303.50,-0.51,0.03,,"","","","",""
"2011mTn5STM.2.15.D02",15.00,134.00,134.75,-0.48,0.57,134.00,-0.40,0.42,,"","","","",""
"2011mTn5STM.2.15.D03",15.00,135.00,369.75,0.50,0.07,326.25,-0.07,0.82,,"","","","",""
"2011mTn5STM.2.15.D04",15.00,195.00,129.50,-0.53,0.13,199.25,-0.19,0.47,,"","","","",""
"2011mTn5STM.2.15.D05",15.00,137.00,172.50,-0.22,0.17,143.25,-0.48,0.09,,"","","","",""
"2011mTn5STM.2.15.D06",15.00,138.00,149.25,-0.02,0.26,253.50,-0.52,0.08,,"","","","",""
"2011mTn5STM.2.15.D07",15.00,139.00,734.00,0.33,0.19,874.75,0.98,0.04,,"","","","",""
"2011mTn5STM.2.15.D08",15.00,279.00,171.00,-0.61,0.01,152.25,-0.80,0.27,,"","","","",""
"2011mTn5STM.2.15.D09",15.00,141.00,629.50,0.92,0.03,424.00,0.97,0.18,,"","","","",""
"2011mTn5STM.2.15.D10",15.00,196.00,174.75,0.04,0.87,150.75,-0.25,0.62,,"","","","",""
"2011mTn5STM.2.15.D11",15.00,244.00,201.00,0.22,0.66,266.25,-0.44,0.25,,"","","","",""
"2011mTn5STM.2.15.D12",15.00,280.00,331.25,0.17,0.57,266.50,-0.08,0.66,,"","","","",""
"2011mTn5STM.2.15.E01",15.00,21.00,346.00,-0.73,0.09,321.25,0.07,0.87,,"","","","",""
"2011mTn5STM.2.15.E02",15.00,229.00,111.50,0.02,0.94,51.50,-0.05,0.87,,"","","","",""
"2011mTn5STM.2.15.E03",15.00,147.00,124.75,0.29,0.52,105.75,0.11,0.78,,"","","","",""
"2011mTn5STM.2.15.E04",15.00,148.00,342.00,0.66,0.05,784.00,0.55,0.06,,"","","","",""
"2011mTn5STM.2.15.E05",15.00,149.00,164.50,-0.40,0.10,176.75,-0.42,0.36,,"","","","",""
"2011mTn5STM.2.15.E06",15.00,150.00,248.50,-0.62,0.13,65.00,-0.32,0.30,,"","","","",""
"2011mTn5STM.2.15.E07",15.00,151.00,68.50,-0.24,0.66,103.75,-0.58,0.43,,"","","","",""
"2011mTn5STM.2.15.E08",15.00,152.00,429.25,0.79,0.09,380.25,0.65,0.16,,"","","","",""
"2011mTn5STM.2.15.E09",15.00,153.00,137.50,-0.47,3.24509464348562e-03,134.75,-0.66,0.15,,"","","","",""
"2011mTn5STM.2.15.E10",15.00,154.00,40.50,-0.66,0.09,44.75,-0.28,0.25,,"","","","",""
"2011mTn5STM.2.15.E11",15.00,268.00,266.25,-0.58,0.03,234.50,-0.07,0.70,,"","","","",""
"2011mTn5STM.2.15.E12",15.00,221.00,204.25,-0.19,0.37,268.25,-0.27,0.17,,"","","","",""
"2011mTn5STM.2.15.F01",15.00,57.00,62.00,-4.68,5.22151564324542e-03,86.75,-3.24,3.73251758730991e-03,,"","","","",""
"2011mTn5STM.2.15.F02",15.00,241.00,140.00,0.05,0.75,234.75,0.10,0.35,,"","","","",""
"2011mTn5STM.2.15.F03",15.00,159.00,159.75,-1.22,0.01,137.50,-1.83,0.01,,"","","","",""
"2011mTn5STM.2.15.F04",15.00,160.00,145.25,-0.75,8.89297957585703e-03,175.25,0.12,0.87,,"","","","",""
"2011mTn5STM.2.15.F05",15.00,161.00,167.50,-0.89,0.03,79.25,-0.71,0.12,,"","","","",""
"2011mTn5STM.2.15.F06",15.00,162.00,164.25,0.36,0.68,80.25,-0.90,0.19,,"","","","",""
"2011mTn5STM.2.15.F07",15.00,163.00,60.75,-0.28,0.15,123.25,0.09,0.81,,"","","","",""
"2011mTn5STM.2.15.F08",15.00,164.00,636.25,0.80,0.05,442.75,1.06,0.10,,"","","","",""
"2011mTn5STM.2.15.F09",15.00,165.00,206.25,-0.04,0.82,115.00,-0.12,0.88,,"","","","",""
"2011mTn5STM.2.15.F10",15.00,166.00,35.25,-4.87,5.37203172967886e-03,31.00,-3.11,0.01,,"","","","",""
"2011mTn5STM.2.15.F11",15.00,167.00,233.75,-0.11,0.32,159.75,-0.57,0.08,,"","","","",""
